Entrez ID,1T,2T,3T,4T,5T,6T,7T,8T,10T,11T,12T,13T,14T,15T,16T,17T,18T,19T,20T,21T,22T,23T,24T,25T,26T,27T,28T,29T,30T,31T
925,2.244185152,2.104075549,2.557632693,2.153610982,2.184002954,0.114733448,0.453187662,0.722073751,0.266684012,2.039594835,2.637586712,2.497859419,1.355061213,6.911338645,1.002424962,0.9900141,4.039220582,6.996692901,2.704097326,0.832157985,4.606091745,1.471318355,0.391114091,1.07256361,0.80008171,7.524649469,0.507725063,0.366046836,0.441918807,0.126985975
8320,0.055967363,0.379609152,0.10720386800000001,0.07242866099999999,0.40053111700000005,0.007127749,0.072655537,0.21449539899999998,0.031809772,0.30601333199999997,0.07163215,0.164096346,0.171581944,1.433635451,0.09624328800000001,0.102983528,0.424830537,0.46798737100000004,0.7417502359999999,0.131939203,0.969450316,0.22705119,0.037381132000000004,0.606780078,0.141731962,3.7311187969999997,0.044530059000000004,0.092745353,0.113883049,0.601061331
83888,0.163786185,3.814824929,1.904775352,0.75363376,0.46885513,6.737477524,0.595345624,1.376137744,1.753194766,24.24342311,6.666187527999999,0.292308558,5.272338709,2.9389622739999997,7.505197979,0.418579243,1.208227975,0.19069624699999999,11.95052885,3.757192507,2.9562604930000003,1.4266260309999999,0.26254642699999997,31.7637587,1.705176875,0.285134277,0.282349997,0.668099591,0.23805289699999999,0.42215549799999996
10578,2.72376947,0.824797313,2.066712829,2.423019272,5.505998375,0.376201276,0.209167958,0.484904162,0.34341421,2.385991565,1.142812095,14.03557221,5.083744754,3.552892887,0.753806209,2.594192858,1.019203535,8.122102614,1.406394887,0.937424776,1.241073538,2.146816173,0.116584549,1.149607106,0.349471866,43.11318313,0.614279902,2.045323031,2.097899651,0.764257754
3823,0.8335106,0.175689657,0.44609917600000004,0.32077957100000004,0.147371298,0.043709696,0.066832141,0.01175656,0.130045309,0.16755127,0.37338108299999995,0.590650045,0.420878725,0.334702662,0.011197338999999999,0.175424667,0.183464812,0.871853834,0.195641117,0.14003558800000002,0.7993260659999999,0.143330398,0.435543412,0.17387732,0.07242891,1.68703745,0.045512156,0.043749612,0.124708615,0.7740401370000001
8302,0.9634849605,0.8279449830000001,2.643134694,1.113502599,1.6448595500000003,0.09560337099999999,0.05641942,0.2317387145,0.5052546135,0.5776672985,1.3497174699999999,0.52253334,0.917763892,3.1778173415000004,0.2238086025,0.753586357,1.6583568340000001,1.645186098,1.4378640440000001,0.411653771,1.7463514305,0.5786595285,0.0105555205,1.3250819735,0.377982266,8.562609483,0.0576317645,0.41192908999999994,0.470882033,1.7018181129999999
3824,0.081050838,0.18670500899999998,0.17188452399999998,0.6992651059999999,0.19141363100000003,0.056772462999999995,0.057870077,0.13141955,0.04222743,0.261149332,0.321582451,0.216976665,0.534235451,0.54802265,0.08608619099999999,0.136710497,0.337943925,0.583362642,0.202132177,0.17269948,0.46011443799999996,0.154734625,0.124509631,0.09854882300000001,0.119731177,0.7553046179999999,0.177340782,0.19113630899999998,0.08835171300000001,0.060931165999999995
55024,0.047633735999999996,0.192022076,0.109489255,0.575343267,0.7445068490000001,0.33971929700000003,0.060600275,0.09829976300000001,0.015792728,0.055345088,0.401156361,0.157271722,0.45489319200000006,0.576636313,0.016864341,0.020451462,0.081990409,0.09881956,0.78403695,0.066512157,0.25723633100000004,0.047742368,0.007133298000000001,0.841249316,0.614531901,0.570233071,0.015751163999999998,0.025502215,0.082386834,0.014323746000000002
930,0.006325430999999999,0.541450645,0.09303256,0.47800305,0.22708873699999998,0.019243871,0.078463693,0.133639832,0.085881692,0.095897154,0.280424548,0.077049727,0.011581148999999999,0.736790153,0.076424319,0.146743511,0.476562025,0.391843968,1.248943458,0.061652835999999996,0.450891964,0.261428485,0.007133298000000001,0.022965655,0.595241724,0.10057996599999999,0.53099194,0.028892166,1.438508361,0.097366616
933,1.719165985,0.278380862,0.17281116600000002,0.277470948,0.291260193,0.035746149,0.41447371,0.31030070600000004,0.09305810699999999,0.897512475,0.188601073,1.042110755,0.102183805,0.848540023,0.7310980640000001,0.050212307000000005,0.22505854600000003,0.263664872,0.889982831,1.759189079,0.796691301,0.427003975,2.024664532,0.078209066,0.7453480579999999,0.643128864,1.325970181,0.46512429999999994,0.045894479,0.139414323
