,Index,T cell,CD8,CL,BL,FB,ML,NK,NP,EC,MD
24,TCGA-3X-AAVB-01A,-2.39130829846494,0.5862178338801851,-1.2005305797380104,-1.05750455140307,-1.2137666252897121,-0.6240345427252836,-4.3340258481264184,-1.733046458969013,-2.8965797676667804,-0.8164397138657188
25,TCGA-ZH-A8Y8-01A,-0.27891660728045126,0.6942711474374376,1.3175401334014387,1.3392366978706047,-0.5516173768337778,1.203202858949545,-0.7858640986956799,0.2550537301445968,-0.9249045294294728,1.4210087760241343
26,TCGA-4G-AAZT-01A,-1.1685930319072024,0.1450405688671312,-1.2934474285690065,-0.056674157375617346,-0.6443211805680522,0.7526345196814018,-1.94787988107998,-1.0246383456701669,-2.2528893686092655,0.9855768764814586
27,TCGA-W5-AA2U-01A,-0.15149554304328655,0.9715498988263817,0.0025943482313318506,1.192582060706644,-0.18071208384135387,1.4779610745790497,0.5541964680093622,0.6182571932780535,-0.7930640809875147,1.8202227902360668
28,TCGA-ZH-A8Y4-01A,-0.3814317846361253,1.2312804907140609,-0.928596296269449,0.11324250972447213,-0.2313965167297174,0.1422913104835381,-1.0834840737898377,-0.5564339896494579,-1.6359326812290367,0.17056333381490027
29,TCGA-3X-AAVC-01A,0.8606937700969436,0.6652831134188937,2.099202598938993,2.286704916367693,0.5961951388596712,1.6387229565231212,0.25386524736916316,0.6241189273589571,-0.23585768157092632,1.4575862463634535
30,TCGA-W5-AA36-01A,-1.0743051973630033,0.634519705348302,0.9242011629414887,0.9668735383663969,-1.6891628077379597,0.7037023445276748,-1.1935999630410126,-0.003927517208517213,-1.4093711680400702,1.0139394883568913
31,TCGA-W5-AA34-01A,-0.4390885013206708,0.2860764920517562,0.34594027110669806,0.6139786388800267,-0.9415529288106532,1.095657523444306,-0.4194105515948018,-0.17178705369851724,-1.3074906755135802,0.830316799255117
32,TCGA-ZU-A8S4-01A,-0.6631939716805111,1.548175109362386,0.08308288679818965,0.16589941762757077,-0.8309359783062765,1.8080938500740922,-1.9588035233441068,-0.7833590877293385,-2.035067964624335,0.7340330939089071
33,TCGA-ZH-A8Y5-01A,0.2230755842822196,1.5143708168889838,0.00687192726110191,0.7603554387215722,1.5225434265112647,2.410033216715745,-0.7762769996308201,-0.04855258635218397,-1.0565997741217594,1.2755170961662465
34,TCGA-W5-AA38-01A,1.0038237173649711,2.4700169388421886,1.6268769203489222,2.267836205217039,0.07186480323730365,1.5409053278640445,0.08955871120346814,1.2492891788751759,0.3666839685230783,1.5429243382786935
35,TCGA-ZH-A8Y1-01A,0.5341100822898902,1.440463047314635,0.8884064987662127,1.666666974007607,0.39193107760963564,1.4981373372135136,0.9574532145913438,1.1388878526027113,-0.26947539950902,1.422241146808834
