"","X099535T","X090608T","X098699T","X11770T","X81023T","X81032T","X85421T","X86279T","X86960T","X87823T","X88659T","X88674T","X88724T","X89290T","X96484T"
"PBX4",-2.35245154642714,-2.62092028871554,-0.578298956594356,1.80860334345425,-2.15860326936293,-2.15437105557223,1.30247113647944,-1.68382181191796,-2.18766771981037,-1.37410860729822,-3.58480208195173,-0.298670968055505,-2.730832766959,-2.15397291484036,0.380474572028078
"SIRPG",2.1138671594827,0.2108002918276,-1.01049182622547,1.39890304216306,0.528351272344083,-3.74678812329895,0.755366183763149,0.135534869761189,-2.01622017121525,0.179931376993764,-0.856786847811376,1.18344840203415,1.11183258707798,-0.949566564452545,-1.94306693787322
"THEMIS",-2.9847764944737,-4.92703206519561,-2.90528288676914,-0.584942303131966,-1.51589281165114,-3.88326051068511,-0.466482499817537,-2.02757495858268,-2.81587461712716,-3.96364662290617,-20.6189033957658,-0.889754368810591,-1.195295474692,-2.51585155466154,-3.54609203068235
"TNFRSF25",0.236376279660837,1.73955867077108,-0.985713272376934,2.98894275842352,0.728895713348049,-0.252851529570482,1.50594680768109,0.500853030779849,-0.0984066912914661,1.6651244011662,0.373720587852155,2.37194074292685,0.482786341343443,-1.02413506932304,3.78227225735801
"TRAT1",-1.71272157451172,-3.58510331462898,-2.21272134199413,-0.0982661454038322,-0.322272579452856,-4.11821323636527,0.309304266098593,-1.97151005676417,-1.67349946751424,-1.85292779892871,-4.23325729023214,0.123030449588211,-0.431195420883009,-2.22405440115694,-3.67079601697064
"CD8B",0.602504389608286,-3.86917664460458,-2.01755724078292,2.31731564692734,-0.171253072306154,-3.46457286762003,3.3251273280418,-0.588287413149463,-1.86920088916181,1.30604637353239,2.63286378598772,1.54655125823776,0.684818737553223,-0.301648150895172,4.166514610409
"CD8A",1.46946925326727,-1.82721040783871,0.722404817928602,3.52958360054925,0.838136933397238,-2.66493756293427,3.33679752417699,0.927403464500331,0.154388780126081,1.47572305649285,-0.984014383263366,3.32517051237605,2.51450103627428,0.41435205632883,-0.587725742257175
"EOMES",-1.08400344204768,-3.33516476638656,-2.60228026241505,3.88077367094148,-1.34015214387924,-2.06676579272841,-0.0372999600737965,-3.40490581363951,-3.01586421748716,-0.591366388959248,-1.68107120973062,0.445737295785701,-0.186056723085591,-2.1115205266517,-1.49238699227165
"FGFBP2",-1.87065103278916,-20.0269881344029,-1.42855811728011,-3.37904655832098,-1.95696352694593,-24.1694323994231,-1.5716088714544,-2.60021421658968,-1.831296356004,-2.83103968249754,-1.30708365409873,-1.81510276398876,-1.6409421856233,-1.09520071127785,-4.30662464868776
"GNLY",2.89101859865077,5.98198504644327,0.871630776159857,5.83828117632242,3.45287213995083,-3.6655141010258,3.43516184271179,1.38331998335529,3.24939527824421,2.92265646877107,2.04921602040935,0.11699014388168,1.98326178839602,0.498373427564221,-1.7325864541673
"KLRC3",-1.11484425361881,-4.22277026455225,-3.06801141891249,-0.109330742812589,-1.95115561080869,-4.74298358687993,-0.796124803614474,-4.32812767263709,-1.35531674829357,-1.38145685979967,-2.08118636367202,-1.00328153236688,-0.907281077793463,-1.56646363009237,-5.03839504350501
"KLRC4",-19.807240434322,-20.0269881344029,-4.85812152046825,-1.51794477192432,-1.82125349401818,-24.1694323994231,-0.195967924623913,-18.3227593266487,-2.20917459174796,-4.01525054944687,-3.24174799829685,-0.678048822176646,-2.56569043467583,-19.1917204666248,-24.6494253405427
"KLRD1",-2.69710661775783,-3.41783326405238,-3.16303529766229,-1.03744949644135,-0.783576177578477,-6.75245100219373,-0.342034453435362,-3.20088616184738,-2.53619342558089,-1.20313981062101,-3.07816153781892,-2.08640933726847,-1.89668365273926,-2.94961114539552,-7.03909785128351
"BANK1",-0.125967953726983,-3.38054679640768,-0.00959691717277675,-1.0227889611078,-2.29698437583048,-5.6888484752997,-0.0294893945486047,-4.04605568994424,-4.44079288712723,-0.850303599229394,-4.56081987107267,0.270074384464799,-1.35908667591818,-5.0772358431828,-2.51572779077125
"CD19",-19.807240434322,-3.83219199079029,-3.68431784866208,-0.654151753134081,-2.89277815292829,-5.95376097071299,-0.249966399562653,-3.54356305975621,-6.09407860539029,-0.790394418578628,-3.87453933078332,-1.14557978804736,-1.58922040010754,-4.34648279670555,-2.91907496830799
"CD22",-1.35149406083815,-1.99049803121263,-2.26824674578022,-1.71296749542613,-0.844421725157636,0.0901759497902069,0.0593552776164212,-0.809918703774025,-1.08267976896058,-0.437250080661305,-4.99555642459025,-0.107940103309838,-0.168004430247595,1.22558342875685,-2.55469705786349
"CD79A",-2.82435149373279,-1.16694314906638,0.299713560064242,2.77756910628283,-2.35921621115884,-3.56817125364748,2.18154149591358,-0.933540149134529,-2.12324536598615,1.56726797960926,-3.16355228611676,1.22484909304359,2.46967242077023,-0.858297791637077,0.245057494039581
"CR2",-1.65415402349122,-5.05929770022922,-3.97048520245608,-4.25967372746562,-16.7346468355038,-6.11859912239213,-2.13627083480521,-18.3227593266487,-19.0676301189002,-4.02628264300126,-4.23369149770989,-17.7875221997075,-3.59069618490578,-6.0901713008572,-7.40464636466669
"FCRL2",-19.807240434322,-3.80601585707433,-6.7378337806795,1.43731297686992,-16.7346468355038,-24.1694323994231,-1.50190030419108,-4.26800768556457,-5.81811125950005,-2.671384091998,-5.89664927257004,-3.23703383872922,-3.25650743622786,-5.39914567375715,-3.20646863382335
"MS4A1",-3.84168158837288,-3.96949497550996,-3.0165878877709,-0.44432910318009,-4.89113328456137,-4.8319618663939,1.33696315129856,-4.42515250500799,-4.77121257977712,-1.12026287112294,-5.28181840274506,-2.24720346225471,-0.295009438494822,-3.75492010743983,-4.53316889429984
"PAX5",-7.46424323087013,-20.0269881344029,-5.42265345173741,-3.10127620107208,-16.7346468355038,-7.28435975789976,-2.81630134477362,-7.90298215152145,-8.42650633978581,-5.90325669913516,-20.6189033957658,-6.46453623759488,-3.47713592512245,-3.49617828088926,-1.2500007124357
"CD160",-19.807240434322,-20.0269881344029,-19.7680698370413,-19.3659713934699,-16.7346468355038,-24.1694323994231,-20.9904622583777,-18.3227593266487,-19.0676301189002,-19.1159931404616,-20.6189033957658,-17.7875221997075,-19.4461417421539,-19.1917204666248,-24.6494253405427
