Gene,099535T,090608T,098699T,11770T,81023T,81032T,85421T,86279T,86960T,87823T,88659T,88674T,88724T,89290T,96484T
CD1A,-7.4642432308701245,0.674930626017989,-6.3856870517158555,-1.6276941959591609,-3.5957298847418717,-7.284359757899759,-2.217014472441106,-7.902982151521455,-4.211078466647083,3.0591545047399338,-5.568063451989684,2.228018253638185,-1.1847164185153487,-0.6555782412972156,-4.358871303064477
CD1B,-7.4642432308701245,-2.2361771354726585,-4.084782928969945,-2.978690847603942,-5.429519970467391,-7.284359757899759,-1.7578036092912814,-7.902982151521455,-8.426506339785812,-0.900887963906113,-6.093113097695514,0.6656019739433114,-1.9821065899640198,-4.334618872445525,-5.641729782429593
CD1E,-3.7222180176577164,-0.739133669490221,-3.3507344167884665,-0.2938257724891838,-2.460806440526661,-5.918001628594063,0.38694334835436983,-2.8543251530689435,-2.3300008772835046,1.311834397402826,-4.864155217210843,0.5101213678762269,-0.17390673891897793,-1.0499556848062703,-2.8202698550659124
CD22,-1.3514940608381476,-1.9904980312126273,-2.268246745780218,-1.712967495426126,-0.8444217251576362,0.0901759497902069,0.05935527761642124,-0.8099187037740254,-1.0826797689605785,-0.4372500806613055,-4.99555642459025,-0.1079401033098377,-0.16800443024759495,1.2255834287568537,-2.554697057863487
CD28,-4.289499948753319,-4.567423652390549,-1.7287703620696167,-1.2512502568378407,-1.5287438538737272,-0.7110721507475469,-0.8102601871204285,-2.02609929617721,-0.9876887820399908,0.3813055250406686,0.3533684629031748,-1.5041984297510205,-1.0274073273075155,-2.879053584726697,-2.5701644682969857
CD3D,2.006542193063438,2.279911020316103,2.1590736994247894,4.94606643123668,3.6966949527971282,1.0600197058017402,5.359798747259963,2.8252279760622985,2.357577339528057,3.928142885184441,1.7590151801601772,4.109937187825238,4.1801080687120145,3.377512488485005,0.5109112975106452
CD3G,-0.5535320139026745,0.10303429150466338,-0.3044444052649735,1.7123272447091555,0.14707220107128643,-2.91021984611471,0.5610670269112646,-0.06543518922530972,-0.9127788728488924,-0.3567459436497941,-3.816752594143745,0.4558913640507434,0.42290036192134406,-1.1303559694254188,-1.9391280594477347
CD5,-0.7965131525636411,-2.0360820381379376,-0.44393065945497434,0.9488773998273358,0.4579934531732711,-2.5762604928346837,0.23600883262497033,-0.557868621757089,-1.053793170962472,-0.014979090456718646,-2.7407889889016075,0.2147838172035598,0.5553646288199652,-1.6749175850370852,4.936496606851572
CD6,-0.8048993819684126,-1.6278636174162595,-0.7474438570210714,1.4486631246686343,0.4357672567821331,-2.036034703488129,1.0679415409207027,-0.13753353211887354,-0.6859230237574765,0.5695980263072212,-1.708193724556246,0.8054080316896997,0.7102168397526222,-1.2816353048840061,-1.2157674116484003
CD79A,-2.8243514937327916,-1.1669431490663786,0.29971356006424194,2.7775691062828276,-2.3592162111588406,-3.5681712536474763,2.181541495913583,-0.9335401491345293,-2.1232453659861465,1.5672679796092557,-3.1635522861167624,1.2248490930435874,2.4696724207702316,-0.8582977916370771,0.24505749403958113
CD8A,1.4694692532672655,-1.8272104078387135,0.7224048179286023,3.5295836005492536,0.8381369333972385,-2.6649375629342673,3.3367975241769874,0.9274034645003308,0.15438878012608062,1.4757230564928472,-0.9840143832633664,3.325170512376046,2.514501036274285,0.4143520563288301,-0.5877257422571746
CD8B,0.6025043896082858,-3.869176644604583,-2.01755724078292,2.3173156469273373,-0.1712530723061539,-3.464572867620031,3.325127328041803,-0.5882874131494625,-1.8692008891618057,1.3060463735323915,2.632863785987723,1.5465512582377647,0.6848187375532225,-0.30164815089517244,4.166514610409004
CDH5,0.18134430518973058,0.5212417431118197,1.7966725031502053,1.364846938438832,2.630582535588927,2.1783353959497216,1.3788389669119594,3.4392507811114084,2.9663400191576206,1.8638829610860588,-0.5831775489178683,1.0114884825946795,2.384417343194212,2.193604601830551,0.7632075854926478
